Request ID,Execution Time,N,Result
1,2.6226043701171875e-06,2,2
2,1.430511474609375e-06,4,24
3,9.5367431640625e-07,5,120
4,9.5367431640625e-07,5,120
5,9.5367431640625e-07,6,720
6,9.5367431640625e-07,7,5040
7,9.5367431640625e-07,7,5040
8,9.5367431640625e-07,8,40320
9,9.5367431640625e-07,9,362880
10,9.5367431640625e-07,9,362880
11,9.5367431640625e-07,9,362880
12,7.152557373046875e-07,9,362880
13,1.1920928955078125e-06,10,3628800
14,9.5367431640625e-07,10,3628800
15,9.5367431640625e-07,11,39916800
16,1.1920928955078125e-06,13,6227020800
17,1.430511474609375e-06,15,1307674368000
18,1.6689300537109375e-06,18,6402373705728000
19,1.6689300537109375e-06,19,121645100408832000
20,1.6689300537109375e-06,21,51090942171709440000
21,1.9073486328125e-06,21,51090942171709440000
22,1.6689300537109375e-06,22,1124000727777607680000
23,1.6689300537109375e-06,23,25852016738884976640000
24,1.9073486328125e-06,24,620448401733239439360000
25,1.9073486328125e-06,26,403291461126605635584000000
26,1.6689300537109375e-06,26,403291461126605635584000000
27,1.9073486328125e-06,28,304888344611713860501504000000
28,1.9073486328125e-06,28,304888344611713860501504000000
29,2.384185791015625e-06,29,8841761993739701954543616000000
30,2.1457672119140625e-06,30,265252859812191058636308480000000
31,2.384185791015625e-06,31,8222838654177922817725562880000000
32,2.1457672119140625e-06,31,8222838654177922817725562880000000
33,2.384185791015625e-06,33,8683317618811886495518194401280000000
34,2.384185791015625e-06,33,8683317618811886495518194401280000000
35,2.6226043701171875e-06,34,295232799039604140847618609643520000000
36,2.384185791015625e-06,34,295232799039604140847618609643520000000
37,2.6226043701171875e-06,34,295232799039604140847618609643520000000
38,2.384185791015625e-06,35,10333147966386144929666651337523200000000
39,2.384185791015625e-06,35,10333147966386144929666651337523200000000
40,2.384185791015625e-06,35,10333147966386144929666651337523200000000
41,2.384185791015625e-06,36,371993326789901217467999448150835200000000
42,2.6226043701171875e-06,37,13763753091226345046315979581580902400000000
43,2.86102294921875e-06,39,20397882081197443358640281739902897356800000000
44,2.6226043701171875e-06,39,20397882081197443358640281739902897356800000000
45,2.6226043701171875e-06,39,20397882081197443358640281739902897356800000000
46,2.6226043701171875e-06,40,815915283247897734345611269596115894272000000000
47,2.86102294921875e-06,40,815915283247897734345611269596115894272000000000
48,2.86102294921875e-06,41,33452526613163807108170062053440751665152000000000
49,3.0994415283203125e-06,44,2658271574788448768043625811014615890319638528000000000
50,3.0994415283203125e-06,45,119622220865480194561963161495657715064383733760000000000
51,3.0994415283203125e-06,46,5502622159812088949850305428800254892961651752960000000000
52,3.337860107421875e-06,47,258623241511168180642964355153611979969197632389120000000000
53,3.0994415283203125e-06,48,12413915592536072670862289047373375038521486354677760000000000
54,3.337860107421875e-06,49,608281864034267560872252163321295376887552831379210240000000000
55,3.337860107421875e-06,50,30414093201713378043612608166064768844377641568960512000000000000
56,3.337860107421875e-06,50,30414093201713378043612608166064768844377641568960512000000000000
57,3.5762786865234375e-06,51,1551118753287382280224243016469303211063259720016986112000000000000
58,4.0531158447265625e-06,56,710998587804863451854045647463724949736497978881168458687447040000000000000
59,4.0531158447265625e-06,59,138683118545689835737939019720389406345902876772687432540821294940160000000000000
60,4.291534423828125e-06,61,507580213877224798800856812176625227226004528988036003099405939480985600000000000000
61,4.291534423828125e-06,62,31469973260387937525653122354950764088012280797258232192163168247821107200000000000000
62,4.291534423828125e-06,62,31469973260387937525653122354950764088012280797258232192163168247821107200000000000000
63,4.291534423828125e-06,63,1982608315404440064116146708361898137544773690227268628106279599612729753600000000000000
64,4.5299530029296875e-06,66,544344939077443064003729240247842752644293064388798874532860126869671081148416000000000000000
65,4.76837158203125e-06,67,36471110918188685288249859096605464427167635314049524593701628500267962436943872000000000000000
66,4.76837158203125e-06,68,2480035542436830599600990418569171581047399201355367672371710738018221445712183296000000000000000
67,4.76837158203125e-06,68,2480035542436830599600990418569171581047399201355367672371710738018221445712183296000000000000000
68,4.76837158203125e-06,69,171122452428141311372468338881272839092270544893520369393648040923257279754140647424000000000000000
69,4.76837158203125e-06,69,171122452428141311372468338881272839092270544893520369393648040923257279754140647424000000000000000
70,4.5299530029296875e-06,69,171122452428141311372468338881272839092270544893520369393648040923257279754140647424000000000000000
71,4.76837158203125e-06,70,11978571669969891796072783721689098736458938142546425857555362864628009582789845319680000000000000000
72,4.5299530029296875e-06,70,11978571669969891796072783721689098736458938142546425857555362864628009582789845319680000000000000000
73,5.0067901611328125e-06,71,850478588567862317521167644239926010288584608120796235886430763388588680378079017697280000000000000000
74,5.0067901611328125e-06,72,61234458376886086861524070385274672740778091784697328983823014963978384987221689274204160000000000000000
75,5.245208740234375e-06,74,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
76,5.245208740234375e-06,76,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
77,5.4836273193359375e-06,77,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
78,5.7220458984375e-06,78,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
79,5.7220458984375e-06,79,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
80,5.4836273193359375e-06,79,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
81,5.245208740234375e-06,79,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
82,5.4836273193359375e-06,81,5797126020747367985879734231578109105412357244731625958745865049716390179693892056256184534249745940480000000000000000000
83,5.9604644775390625e-06,82,475364333701284174842138206989404946643813294067993328617160934076743994734899148613007131808479167119360000000000000000000
84,5.7220458984375e-06,82,475364333701284174842138206989404946643813294067993328617160934076743994734899148613007131808479167119360000000000000000000
85,5.9604644775390625e-06,85,281710411438055027694947944226061159480056634330574206405101912752560026159795933451040286452340924018275123200000000000000000000
86,6.4373016357421875e-06,90,1485715964481761497309522733620825737885569961284688766942216863704985393094065876545992131370884059645617234469978112000000000000000000000
87,6.198883056640625e-06,90,1485715964481761497309522733620825737885569961284688766942216863704985393094065876545992131370884059645617234469978112000000000000000000000
88,6.198883056640625e-06,91,135200152767840296255166568759495142147586866476906677791741734597153670771559994765685283954750449427751168336768008192000000000000000000000
89,6.198883056640625e-06,92,12438414054641307255475324325873553077577991715875414356840239582938137710983519518443046123837041347353107486982656753664000000000000000000000
90,6.4373016357421875e-06,95,10329978488239059262599702099394727095397746340117372869212250571234293987594703124871765375385424468563282236864226607350415360000000000000000000000
91,6.67572021484375e-06,96,991677934870949689209571401541893801158183648651267795444376054838492222809091499987689476037000748982075094738965754305639874560000000000000000000000
92,6.67572021484375e-06,96,991677934870949689209571401541893801158183648651267795444376054838492222809091499987689476037000748982075094738965754305639874560000000000000000000000
93,6.67572021484375e-06,97,96192759682482119853328425949563698712343813919172976158104477319333745612481875498805879175589072651261284189679678167647067832320000000000000000000000
94,6.67572021484375e-06,97,96192759682482119853328425949563698712343813919172976158104477319333745612481875498805879175589072651261284189679678167647067832320000000000000000000000
95,6.9141387939453125e-06,98,9426890448883247745626185743057242473809693764078951663494238777294707070023223798882976159207729119823605850588608460429412647567360000000000000000000000
96,6.67572021484375e-06,98,9426890448883247745626185743057242473809693764078951663494238777294707070023223798882976159207729119823605850588608460429412647567360000000000000000000000
97,6.67572021484375e-06,98,9426890448883247745626185743057242473809693764078951663494238777294707070023223798882976159207729119823605850588608460429412647567360000000000000000000000
98,6.9141387939453125e-06,100,93326215443944152681699238856266700490715968264381621468592963895217599993229915608941463976156518286253697920827223758251185210916864000000000000000000000000
99,6.9141387939453125e-06,100,93326215443944152681699238856266700490715968264381621468592963895217599993229915608941463976156518286253697920827223758251185210916864000000000000000000000000
100,7.3909759521484375e-06,100,93326215443944152681699238856266700490715968264381621468592963895217599993229915608941463976156518286253697920827223758251185210916864000000000000000000000000
